activity_id,student_id,activity_name,category,level,participation,score,year
100,29,Physics,Academics,Advanced,Regular,66,2023
101,30,Athletics,Sports,Intermediate,Occasional,66,2023
102,30,Coding,Academics,Advanced,Regular,59,2021
103,30,Economics,Academics,Beginner,Regular,93,2025
104,30,Debate,Extra-curricular,Advanced,Occasional,46,2022
105,30,Art,Extra-curricular,Advanced,Regular,43,2024
106,31,Economics,Academics,Intermediate,Regular,75,2022
107,31,Debate,Extra-curricular,Advanced,Occasional,71,2022
108,31,Football,Sports,Intermediate,Occasional,76,2023
109,32,Physics,Academics,Advanced,Occasional,70,2024
110,32,Football,Sports,Beginner,Regular,87,2025
111,32,Mathematics,Academics,Advanced,Regular,57,2022
112,32,Music,Extra-curricular,Beginner,Occasional,53,2021
113,32,Coding,Academics,Beginner,Occasional,70,2024
114,33,Football,Sports,Intermediate,Occasional,75,2022
115,33,Art,Extra-curricular,Advanced,Occasional,77,2021
116,33,Economics,Academics,Advanced,Regular,92,2023
117,34,Cricket,Sports,Advanced,Regular,60,2023
118,34,Debate,Extra-curricular,Beginner,Regular,51,2021
119,34,Coding,Academics,Intermediate,Occasional,56,2021
120,35,Athletics,Sports,Intermediate,Regular,41,2023
121,35,Music,Extra-curricular,Intermediate,Occasional,41,2022
122,35,Mathematics,Academics,Beginner,Regular,58,2025
123,35,Coding,Academics,Intermediate,Occasional,77,2024
124,35,Football,Sports,Intermediate,Occasional,58,2025
125,36,Debate,Extra-curricular,Advanced,Occasional,84,2025
126,36,Athletics,Sports,Advanced,Regular,61,2022
127,36,Cricket,Sports,Beginner,Regular,52,2022
128,36,Biology,Academics,Intermediate,Occasional,78,2022
129,37,Economics,Academics,Beginner,Occasional,50,2023
130,37,Mathematics,Academics,Beginner,Regular,66,2024
131,37,Football,Sports,Beginner,Regular,86,2022
132,38,Athletics,Sports,Advanced,Occasional,71,2022
133,38,Debate,Extra-curricular,Advanced,Regular,86,2023
134,38,Physics,Academics,Advanced,Occasional,89,2023
135,38,Coding,Academics,Beginner,Occasional,100,2025
136,38,Economics,Academics,Intermediate,Regular,94,2024
137,39,Coding,Academics,Advanced,Occasional,86,2022
138,39,Football,Sports,Advanced,Occasional,62,2021
139,39,Cricket,Sports,Advanced,Occasional,66,2021
140,40,Athletics,Sports,Beginner,Occasional,63,2023
141,40,Art,Extra-curricular,Beginner,Regular,62,2023
142,41,Art,Extra-curricular,Intermediate,Occasional,61,2023
143,41,Athletics,Sports,Intermediate,Occasional,50,2021
144,41,Music,Extra-curricular,Advanced,Occasional,69,2022
145,42,Football,Sports,Advanced,Occasional,72,2023
146,42,Athletics,Sports,Advanced,Regular,50,2023
147,42,Biology,Academics,Intermediate,Occasional,58,2021
148,42,Cricket,Sports,Intermediate,Occasional,82,2022
149,42,Coding,Academics,Beginner,Occasional,61,2022
150,43,Biology,Academics,Beginner,Occasional,98,2024
151,43,Art,Extra-curricular,Advanced,Occasional,89,2022
152,44,Football,Sports,Intermediate,Occasional,40,2025
153,44,Music,Extra-curricular,Intermediate,Regular,58,2023
154,44,Art,Extra-curricular,Intermediate,Occasional,73,2021
155,44,Cricket,Sports,Intermediate,Occasional,44,2023
156,44,Athletics,Sports,Intermediate,Regular,42,2023
157,45,Physics,Academics,Advanced,Occasional,94,2022
158,45,Debate,Extra-curricular,Intermediate,Occasional,68,2022
159,46,Economics,Academics,Beginner,Regular,71,2024
160,46,Music,Extra-curricular,Intermediate,Occasional,52,2024
161,46,Mathematics,Academics,Advanced,Occasional,75,2022
162,47,Music,Extra-curricular,Beginner,Occasional,46,2025
163,47,Coding,Academics,Beginner,Occasional,56,2022
164,47,Debate,Extra-curricular,Beginner,Regular,40,2024
165,48,Mathematics,Academics,Intermediate,Regular,82,2025
166,48,Art,Extra-curricular,Advanced,Regular,83,2025
167,48,Cricket,Sports,Beginner,Regular,64,2025
168,48,Coding,Academics,Beginner,Occasional,52,2022
169,48,Biology,Academics,Advanced,Regular,60,2025
170,49,Physics,Academics,Beginner,Occasional,98,2022
171,49,Biology,Academics,Beginner,Regular,79,2022
172,49,Art,Extra-curricular,Advanced,Occasional,51,2022
173,50,Cricket,Sports,Beginner,Regular,84,2025
174,50,Music,Extra-curricular,Advanced,Regular,75,2023
175,50,Biology,Academics,Intermediate,Regular,75,2025
176,51,Athletics,Sports,Intermediate,Regular,87,2025
177,51,Physics,Academics,Intermediate,Regular,51,2021
178,52,Football,Sports,Intermediate,Occasional,88,2022
179,52,Art,Extra-curricular,Intermediate,Occasional,72,2022
180,52,Economics,Academics,Advanced,Regular,92,2023
181,53,Music,Extra-curricular,Intermediate,Regular,52,2021
182,53,Mathematics,Academics,Intermediate,Occasional,59,2025
183,53,Economics,Academics,Beginner,Occasional,98,2025
184,53,Athletics,Sports,Intermediate,Regular,80,2025
185,54,Football,Sports,Beginner,Regular,49,2025
186,54,Athletics,Sports,Intermediate,Occasional,60,2024
187,54,Economics,Academics,Advanced,Occasional,97,2025
188,54,Cricket,Sports,Intermediate,Occasional,73,2024
189,54,Music,Extra-curricular,Beginner,Regular,90,2024
190,55,Economics,Academics,Intermediate,Occasional,67,2021
191,55,Debate,Extra-curricular,Intermediate,Regular,73,2025
192,56,Biology,Academics,Advanced,Occasional,55,2024
193,56,Debate,Extra-curricular,Intermediate,Regular,70,2021
194,56,Physics,Academics,Intermediate,Occasional,63,2021
195,57,Cricket,Sports,Intermediate,Occasional,41,2022
196,57,Physics,Academics,Beginner,Regular,82,2023
197,57,Mathematics,Academics,Intermediate,Regular,90,2024
198,57,Coding,Academics,Beginner,Occasional,69,2024
199,57,Art,Extra-curricular,Intermediate,Regular,52,2023
200,58,Economics,Academics,Intermediate,Regular,89,2022
201,58,Music,Extra-curricular,Beginner,Occasional,84,2024
202,58,Mathematics,Academics,Beginner,Occasional,80,2022
203,59,Debate,Extra-curricular,Intermediate,Occasional,47,2021
204,59,Physics,Academics,Intermediate,Occasional,86,2023
205,59,Economics,Academics,Beginner,Regular,71,2021
206,60,Coding,Academics,Beginner,Regular,54,2025
207,60,Debate,Extra-curricular,Intermediate,Occasional,77,2025
208,60,Mathematics,Academics,Intermediate,Occasional,57,2024
209,61,Football,Sports,Advanced,Occasional,84,2023
210,61,Music,Extra-curricular,Intermediate,Regular,53,2022
211,61,Cricket,Sports,Advanced,Occasional,83,2023
212,61,Art,Extra-curricular,Advanced,Occasional,54,2022
213,62,Mathematics,Academics,Advanced,Occasional,78,2025
214,62,Football,Sports,Beginner,Regular,75,2024
215,62,Music,Extra-curricular,Advanced,Regular,80,2025
216,63,Economics,Academics,Intermediate,Regular,76,2025
217,63,Music,Extra-curricular,Intermediate,Regular,61,2021
218,63,Art,Extra-curricular,Beginner,Occasional,65,2022
219,63,Debate,Extra-curricular,Advanced,Occasional,86,2025
220,64,Coding,Academics,Beginner,Regular,63,2021
221,64,Economics,Academics,Beginner,Regular,97,2022
222,64,Biology,Academics,Advanced,Regular,67,2023
223,65,Economics,Academics,Advanced,Regular,60,2021
224,65,Football,Sports,Advanced,Regular,83,2025
225,65,Music,Extra-curricular,Advanced,Regular,57,2024
226,65,Physics,Academics,Intermediate,Regular,61,2025
227,65,Cricket,Sports,Advanced,Occasional,81,2022
228,66,Mathematics,Academics,Intermediate,Regular,63,2021
229,66,Cricket,Sports,Advanced,Occasional,67,2024
230,66,Coding,Academics,Advanced,Regular,58,2021
231,66,Physics,Academics,Advanced,Regular,93,2021
232,66,Biology,Academics,Beginner,Regular,64,2024
233,67,Economics,Academics,Intermediate,Regular,72,2025
234,67,Mathematics,Academics,Beginner,Occasional,64,2023
235,67,Physics,Academics,Intermediate,Occasional,93,2025
236,67,Athletics,Sports,Intermediate,Occasional,82,2023
237,67,Coding,Academics,Intermediate,Regular,65,2025
238,68,Biology,Academics,Advanced,Regular,81,2025
239,68,Art,Extra-curricular,Advanced,Occasional,68,2024
240,68,Mathematics,Academics,Advanced,Occasional,53,2021
241,68,Physics,Academics,Beginner,Occasional,63,2024
242,69,Cricket,Sports,Advanced,Occasional,64,2023
243,69,Mathematics,Academics,Intermediate,Regular,56,2024
244,70,Music,Extra-curricular,Advanced,Occasional,84,2024
245,70,Economics,Academics,Intermediate,Regular,96,2022
246,70,Biology,Academics,Intermediate,Occasional,60,2025
247,71,Biology,Academics,Advanced,Regular,81,2024
248,71,Economics,Academics,Advanced,Regular,66,2022
249,72,Cricket,Sports,Beginner,Occasional,50,2025
250,72,Art,Extra-curricular,Advanced,Regular,87,2023
251,72,Debate,Extra-curricular,Beginner,Regular,54,2024
252,72,Athletics,Sports,Intermediate,Occasional,73,2024
253,72,Biology,Academics,Beginner,Occasional,53,2021
254,73,Biology,Academics,Advanced,Occasional,83,2023
255,73,Art,Extra-curricular,Beginner,Occasional,61,2023
256,73,Cricket,Sports,Advanced,Regular,89,2025
257,73,Music,Extra-curricular,Beginner,Regular,68,2021
258,73,Physics,Academics,Beginner,Occasional,73,2025
259,74,Music,Extra-curricular,Intermediate,Occasional,51,2023
260,74,Coding,Academics,Advanced,Regular,90,2023
261,74,Football,Sports,Advanced,Regular,57,2022
262,75,Football,Sports,Advanced,Occasional,58,2024
263,75,Economics,Academics,Beginner,Regular,64,2021
264,75,Music,Extra-curricular,Beginner,Occasional,69,2024
265,75,Coding,Academics,Advanced,Occasional,90,2023
266,75,Biology,Academics,Intermediate,Occasional,99,2023
267,76,Mathematics,Academics,Intermediate,Regular,94,2022
268,76,Cricket,Sports,Beginner,Regular,78,2021
269,76,Biology,Academics,Beginner,Occasional,50,2024
270,76,Debate,Extra-curricular,Advanced,Occasional,44,2023
271,77,Athletics,Sports,Intermediate,Occasional,85,2021
272,77,Physics,Academics,Advanced,Occasional,93,2022
273,78,Debate,Extra-curricular,Advanced,Regular,48,2023
274,78,Economics,Academics,Advanced,Regular,75,2025
275,78,Music,Extra-curricular,Intermediate,Regular,90,2022
276,79,Art,Extra-curricular,Intermediate,Regular,82,2024
277,79,Music,Extra-curricular,Beginner,Occasional,84,2023
278,79,Football,Sports,Intermediate,Occasional,40,2024
279,80,Music,Extra-curricular,Beginner,Occasional,59,2021
280,80,Cricket,Sports,Beginner,Regular,74,2022
281,80,Economics,Academics,Intermediate,Regular,61,2022
282,80,Physics,Academics,Intermediate,Occasional,50,2021
283,81,Biology,Academics,Advanced,Regular,51,2021
284,81,Music,Extra-curricular,Beginner,Regular,51,2021
285,81,Debate,Extra-curricular,Intermediate,Occasional,50,2022
286,81,Physics,Academics,Beginner,Occasional,65,2023
287,81,Economics,Academics,Intermediate,Occasional,82,2022
288,82,Coding,Academics,Beginner,Regular,60,2022
289,82,Debate,Extra-curricular,Advanced,Regular,41,2023
290,82,Athletics,Sports,Advanced,Occasional,85,2022
291,82,Physics,Academics,Advanced,Occasional,84,2025
292,82,Football,Sports,Advanced,Occasional,90,2025
293,83,Music,Extra-curricular,Advanced,Occasional,69,2025
294,83,Biology,Academics,Advanced,Regular,71,2021
295,84,Economics,Academics,Advanced,Regular,62,2024
296,84,Biology,Academics,Advanced,Regular,75,2025
297,84,Athletics,Sports,Advanced,Occasional,81,2025
298,84,Debate,Extra-curricular,Beginner,Occasional,47,2022
299,84,Cricket,Sports,Advanced,Occasional,53,2025
300,85,Mathematics,Academics,Advanced,Regular,66,2022
301,85,Economics,Academics,Beginner,Occasional,88,2022
302,85,Athletics,Sports,Intermediate,Regular,44,2022
303,85,Coding,Academics,Intermediate,Regular,80,2022
304,86,Art,Extra-curricular,Advanced,Occasional,46,2021
305,86,Physics,Academics,Beginner,Regular,53,2024
306,86,Mathematics,Academics,Advanced,Regular,94,2024
307,86,Football,Sports,Advanced,Regular,68,2022
308,86,Athletics,Sports,Beginner,Regular,47,2024
309,87,Athletics,Sports,Beginner,Occasional,75,2025
310,87,Economics,Academics,Advanced,Regular,59,2025
311,87,Debate,Extra-curricular,Advanced,Occasional,89,2025
312,87,Art,Extra-curricular,Beginner,Regular,56,2025
313,87,Coding,Academics,Intermediate,Regular,60,2021
314,88,Economics,Academics,Advanced,Regular,85,2025
315,88,Debate,Extra-curricular,Beginner,Regular,63,2023
316,89,Music,Extra-curricular,Advanced,Occasional,70,2022
317,89,Cricket,Sports,Beginner,Occasional,90,2023
318,89,Physics,Academics,Advanced,Occasional,89,2023
319,90,Cricket,Sports,Beginner,Regular,73,2024
320,90,Economics,Academics,Beginner,Occasional,82,2021
321,91,Coding,Academics,Beginner,Regular,82,2023
322,91,Cricket,Sports,Beginner,Regular,81,2023
323,91,Economics,Academics,Beginner,Occasional,70,2024
324,92,Economics,Academics,Beginner,Regular,99,2024
325,92,Coding,Academics,Beginner,Regular,94,2024
326,92,Physics,Academics,Intermediate,Occasional,59,2022
327,92,Debate,Extra-curricular,Beginner,Regular,86,2023
328,92,Athletics,Sports,Advanced,Occasional,87,2021
329,93,Football,Sports,Advanced,Regular,70,2023
330,93,Coding,Academics,Advanced,Occasional,68,2025
331,93,Mathematics,Academics,Beginner,Occasional,67,2025
332,93,Cricket,Sports,Beginner,Occasional,63,2022
333,93,Economics,Academics,Beginner,Occasional,65,2024
334,94,Music,Extra-curricular,Intermediate,Regular,80,2022
335,94,Art,Extra-curricular,Advanced,Occasional,53,2025
336,94,Economics,Academics,Intermediate,Regular,58,2023
337,94,Physics,Academics,Advanced,Occasional,54,2022
338,95,Biology,Academics,Intermediate,Regular,98,2025
339,95,Football,Sports,Advanced,Occasional,67,2025
340,95,Cricket,Sports,Beginner,Occasional,90,2025
341,95,Mathematics,Academics,Advanced,Regular,60,2023
342,96,Economics,Academics,Intermediate,Occasional,75,2024
343,96,Mathematics,Academics,Beginner,Regular,95,2021
344,97,Football,Sports,Advanced,Occasional,52,2021
345,97,Biology,Academics,Advanced,Regular,70,2024
346,97,Music,Extra-curricular,Beginner,Regular,51,2025
347,97,Athletics,Sports,Advanced,Regular,76,2024
348,98,Physics,Academics,Advanced,Regular,62,2024
349,98,Mathematics,Academics,Advanced,Regular,95,2024
350,98,Economics,Academics,Intermediate,Occasional,93,2022
351,98,Debate,Extra-curricular,Intermediate,Occasional,57,2022
352,99,Art,Extra-curricular,Beginner,Occasional,44,2025
353,99,Physics,Academics,Advanced,Occasional,69,2023
354,99,Economics,Academics,Beginner,Regular,55,2023
355,100,Physics,Academics,Intermediate,Occasional,84,2022
356,100,Art,Extra-curricular,Advanced,Occasional,44,2024
357,101,Debate,Extra-curricular,Advanced,Regular,50,2025
358,101,Music,Extra-curricular,Advanced,Occasional,63,2021
359,101,Mathematics,Academics,Beginner,Regular,62,2021
360,101,Coding,Academics,Advanced,Occasional,60,2025
361,101,Athletics,Sports,Intermediate,Occasional,44,2022
362,102,Economics,Academics,Beginner,Occasional,74,2025
363,102,Music,Extra-curricular,Beginner,Occasional,40,2022
364,102,Coding,Academics,Advanced,Occasional,60,2023
365,102,Debate,Extra-curricular,Advanced,Occasional,49,2025
366,103,Cricket,Sports,Intermediate,Regular,85,2024
367,103,Football,Sports,Advanced,Regular,74,2025
368,103,Economics,Academics,Beginner,Occasional,73,2021
369,103,Debate,Extra-curricular,Beginner,Occasional,57,2024
370,104,Debate,Extra-curricular,Advanced,Regular,42,2025
371,104,Physics,Academics,Intermediate,Occasional,93,2022
372,105,Athletics,Sports,Intermediate,Regular,79,2021
373,105,Art,Extra-curricular,Advanced,Occasional,81,2025
374,105,Mathematics,Academics,Beginner,Occasional,78,2022
375,105,Debate,Extra-curricular,Advanced,Regular,56,2025
376,105,Football,Sports,Advanced,Occasional,88,2022
377,106,Music,Extra-curricular,Beginner,Occasional,50,2022
378,106,Biology,Academics,Advanced,Regular,84,2023
379,107,Art,Extra-curricular,Advanced,Regular,46,2021
380,107,Cricket,Sports,Advanced,Regular,89,2022
381,107,Biology,Academics,Advanced,Occasional,90,2023
382,108,Athletics,Sports,Intermediate,Regular,41,2021
383,108,Mathematics,Academics,Beginner,Occasional,52,2021
384,108,Cricket,Sports,Intermediate,Occasional,53,2024
385,108,Art,Extra-curricular,Advanced,Occasional,58,2025
386,109,Football,Sports,Advanced,Regular,51,2022
387,109,Mathematics,Academics,Advanced,Occasional,76,2025
388,109,Coding,Academics,Intermediate,Occasional,81,2023
389,109,Physics,Academics,Intermediate,Regular,61,2023
390,109,Economics,Academics,Intermediate,Occasional,68,2025
391,110,Physics,Academics,Intermediate,Occasional,91,2021
392,110,Athletics,Sports,Beginner,Occasional,53,2025
393,110,Music,Extra-curricular,Advanced,Regular,77,2024
394,111,Coding,Academics,Beginner,Regular,59,2021
395,111,Debate,Extra-curricular,Beginner,Regular,51,2022
396,111,Economics,Academics,Intermediate,Regular,64,2025
397,112,Physics,Academics,Beginner,Occasional,80,2022
398,112,Debate,Extra-curricular,Advanced,Regular,41,2021
399,113,Coding,Academics,Beginner,Regular,73,2022
400,113,Athletics,Sports,Intermediate,Regular,70,2023
401,113,Biology,Academics,Intermediate,Regular,83,2023
402,113,Mathematics,Academics,Beginner,Regular,62,2021
403,113,Physics,Academics,Beginner,Occasional,64,2023
404,114,Athletics,Sports,Intermediate,Occasional,45,2022
405,114,Football,Sports,Beginner,Regular,90,2022
406,115,Debate,Extra-curricular,Beginner,Regular,75,2022
407,115,Art,Extra-curricular,Advanced,Occasional,62,2024
408,115,Music,Extra-curricular,Intermediate,Regular,85,2025
409,115,Mathematics,Academics,Intermediate,Regular,76,2023
410,116,Football,Sports,Advanced,Occasional,78,2024
411,116,Cricket,Sports,Beginner,Occasional,51,2023
412,116,Biology,Academics,Advanced,Occasional,61,2021
413,117,Athletics,Sports,Intermediate,Regular,68,2023
414,117,Mathematics,Academics,Advanced,Regular,79,2023
415,117,Debate,Extra-curricular,Beginner,Regular,51,2022
416,117,Music,Extra-curricular,Intermediate,Regular,44,2022
417,117,Physics,Academics,Advanced,Regular,50,2022
418,118,Economics,Academics,Beginner,Regular,75,2025
419,118,Biology,Academics,Advanced,Regular,57,2024
420,118,Debate,Extra-curricular,Advanced,Occasional,66,2023
421,118,Art,Extra-curricular,Beginner,Regular,67,2023
422,118,Physics,Academics,Advanced,Occasional,74,2024
423,119,Athletics,Sports,Advanced,Regular,45,2023
424,119,Coding,Academics,Intermediate,Occasional,94,2025
425,119,Biology,Academics,Intermediate,Occasional,68,2022
426,119,Cricket,Sports,Advanced,Occasional,62,2022
427,120,Debate,Extra-curricular,Intermediate,Occasional,44,2024
428,120,Athletics,Sports,Beginner,Regular,57,2025
429,120,Coding,Academics,Advanced,Regular,66,2023
430,120,Economics,Academics,Beginner,Regular,60,2025
431,121,Music,Extra-curricular,Intermediate,Regular,77,2024
432,121,Art,Extra-curricular,Beginner,Regular,89,2025
433,122,Athletics,Sports,Advanced,Regular,57,2022
434,122,Debate,Extra-curricular,Intermediate,Occasional,76,2022
435,122,Cricket,Sports,Advanced,Occasional,55,2023
436,123,Physics,Academics,Advanced,Regular,83,2023
437,123,Coding,Academics,Advanced,Regular,96,2025
438,123,Art,Extra-curricular,Intermediate,Occasional,44,2022
439,124,Music,Extra-curricular,Advanced,Occasional,75,2023
440,124,Football,Sports,Advanced,Occasional,50,2025
441,125,Cricket,Sports,Beginner,Regular,45,2021
442,125,Mathematics,Academics,Advanced,Occasional,84,2022
443,125,Physics,Academics,Advanced,Regular,71,2024
444,125,Athletics,Sports,Intermediate,Regular,45,2022
445,125,Economics,Academics,Intermediate,Regular,66,2021
446,126,Biology,Academics,Advanced,Occasional,84,2021
447,126,Music,Extra-curricular,Beginner,Regular,45,2021
448,126,Art,Extra-curricular,Advanced,Regular,89,2024
449,126,Debate,Extra-curricular,Beginner,Occasional,69,2023
450,126,Football,Sports,Intermediate,Occasional,78,2024
451,127,Economics,Academics,Intermediate,Regular,83,2025
452,127,Biology,Academics,Beginner,Occasional,60,2023
453,128,Debate,Extra-curricular,Beginner,Occasional,50,2022
454,128,Coding,Academics,Intermediate,Regular,59,2023
455,128,Physics,Academics,Advanced,Occasional,91,2021
456,128,Mathematics,Academics,Intermediate,Occasional,56,2022
457,128,Biology,Academics,Intermediate,Regular,66,2023
458,129,Debate,Extra-curricular,Advanced,Regular,42,2024
459,129,Cricket,Sports,Advanced,Occasional,57,2022
460,129,Coding,Academics,Advanced,Regular,75,2023
461,130,Debate,Extra-curricular,Intermediate,Occasional,53,2025
462,130,Cricket,Sports,Advanced,Regular,73,2022
463,130,Mathematics,Academics,Advanced,Occasional,79,2021
464,130,Economics,Academics,Intermediate,Occasional,72,2022
465,131,Debate,Extra-curricular,Beginner,Regular,43,2021
466,131,Biology,Academics,Beginner,Occasional,94,2023
467,131,Music,Extra-curricular,Beginner,Occasional,56,2024
468,131,Physics,Academics,Beginner,Occasional,94,2024
469,132,Art,Extra-curricular,Advanced,Regular,73,2021
470,132,Music,Extra-curricular,Advanced,Regular,43,2021
471,132,Biology,Academics,Beginner,Occasional,89,2022
472,132,Football,Sports,Advanced,Regular,47,2022
473,132,Cricket,Sports,Intermediate,Regular,77,2023
474,133,Music,Extra-curricular,Advanced,Regular,72,2022
475,133,Biology,Academics,Beginner,Occasional,50,2022
476,133,Art,Extra-curricular,Advanced,Occasional,87,2021
477,133,Economics,Academics,Beginner,Occasional,57,2021
478,134,Mathematics,Academics,Beginner,Regular,78,2024
479,134,Debate,Extra-curricular,Advanced,Regular,74,2022
480,134,Physics,Academics,Advanced,Occasional,77,2024
481,134,Economics,Academics,Beginner,Occasional,60,2021
482,135,Cricket,Sports,Beginner,Regular,54,2023
483,135,Biology,Academics,Advanced,Regular,80,2022
484,135,Art,Extra-curricular,Beginner,Regular,85,2023
485,136,Football,Sports,Beginner,Occasional,82,2022
486,136,Biology,Academics,Advanced,Regular,93,2025
487,137,Coding,Academics,Advanced,Regular,76,2023
488,137,Economics,Academics,Advanced,Occasional,58,2022
489,137,Biology,Academics,Intermediate,Regular,55,2024
490,137,Football,Sports,Intermediate,Occasional,54,2023
491,138,Cricket,Sports,Advanced,Regular,90,2021
492,138,Athletics,Sports,Intermediate,Regular,42,2025
493,138,Coding,Academics,Beginner,Regular,86,2024
494,138,Football,Sports,Beginner,Regular,77,2023
495,138,Debate,Extra-curricular,Intermediate,Regular,73,2022
496,139,Physics,Academics,Intermediate,Regular,54,2022
497,139,Art,Extra-curricular,Beginner,Occasional,85,2025
498,139,Cricket,Sports,Advanced,Regular,51,2022
